Id,Texto,Sentimiento,Texto_preprocesado
1.1030267183386296e+18,"Nos llaman golpistas, aquellos que llaman  ilustrísimo Coronel  a quien se presentó voluntario para apoyar el Golpe de Estado del 81 #JUICIOFARSA",Positivo,"['llaman', 'golpistas', 'aquellos', 'llaman', 'ilustrísimo', 'coronel', 'presentó', 'voluntario', 'apoyar', 'golpe']"
1.1036370583152762e+18,"@FulvioCapitanio @Jenn_hypatia Vinieron a esto y, de momento, sin orden d matar. ( el 17 A, sin investigar, perece les salió mal)  https://t.co/Vte3fkKbZS #ThisIsTheRealSpain",Positivo,"['vinieron', 'momento', 'orden', 'd', 'matar', 'investigar', 'perece', 'salió', 'mal']"
1.0993468170813194e+18,"@elputuamu Lo bueno de esto es que por fin se quitan la careta y dejan bien claro que erc es republicana federalista apañola y que la independencia de Catalunya se la suda.  Espero que sus ingenuos votantes sepan lo que hacen en el futuro, si desean la República de Catalunya: no votarlos.",Positivo,"['bueno', 'fin', 'quitan', 'careta', 'dejan', 'bien', 'claro', 'erc', 'republicana', 'federalista', 'apañola', 'independencia', 'catalunya', 'suda', 'espero', 'ingenuos', 'votantes', 'sepan', 'hacen', 'futuro', 'si', 'desean', 'república', 'catalunya', 'votarlos']"
1.0974743450127852e+18,"Zasca tras zasca de Guerra a Évole en la entrevista de la Sexta. Puigdemónt ha dado un Golpe de Estado, por lo tanto es un golpista. https://t.co/zGR1rEFp3x",Negativo,"['zasca', 'tras', 'zasca', 'guerra', 'évole', 'entrevista', 'sexta', 'puigdemónt', 'dado', 'golpe', 'golpista']"
1.1029043633899805e+18,🔴 Juicio Procés| Millo asegura que policías cayeron el #1O en la  trampa del Fairy  https://t.co/tujghBNo7D https://t.co/SCMwqZNNA4,Neutral,"['juicio', 'procés', 'millo', 'asegura', 'policías', 'cayeron', 'trampa', 'fairy']"
1.0979582605466993e+18,RT @CarlaAntonelli: Francia se moviliza contra el ascenso del antisemitismo https://t.co/WQK6Z08bEi vía @elpais_inter,Neutral,"['francia', 'moviliza', 'ascenso', 'antisemitismo', 'vía']"
1.1028533146921615e+18,“No hay ningún mandato electoral que pueda legitimar el incumplimiento de la ley”. Mare meva. Això s’ho creuen de debó? #JudiciALesUrnes #FreeTothom,Positivo,"['ningún', 'mandato', 'electoral', 'pueda', 'legitimar', 'incumplimiento', 'ley', 'mare', 'meva', 'això', 's', 'ho', 'creuen', 'debó']"
1.1039326059031674e+18,"@Julii1985 @bebaripi @David_n_Goliat @marianpy1 @drawman1290 @JordiMasFont @SeorM17 @vlc_JI @CDRTabarnia @RafaColono @AlfonsoIXLeon @lovenjaire @ElPaco17170917 @Telasmarineras @PevitaTolosabe @ochoabravo32 @berguetanu @cositasmartinez @Xipress @Ghandi1964 @VictorTabarnia @Morafanova @RamonBerenguerI @Jrgen27307674 @ktalunyalliure @raclo33 @Selene01234 @albert_batista @canilero9 @DavidLlop3 @Luismita @Paco_Glez_ @Nin631 @Jafp1966 @felixvsrobespi @Ciutada @Grassonet2 @anemicas @Marpalau @bla_7863 @ilusoaluso @Jonatrullas @nundiknora @Alexrp1 @ArturoRojillo @ANL_Navarra @CatalinaDeFoix @Karmenziya @IbonTheBasque A mi 😍amigo @JorgexSiglo21 no le dejo de seguir como a quien se ha puesto en su perfil que va a votar a VOX y a quien insulta a Pedro😍Sánchez y al PSOE🌹 porque nos hicimos amigos hace un año, en un hilo con una 😍amiga navarra independentista, discutiendo por la independencia.",Positivo,"['amigo', 'dejo', 'seguir', 'puesto', 'perfil', 'va', 'votar', 'vox', 'insulta', 'pedrosánchez', 'psoe', 'hicimos', 'amigo', 'hace', 'año', 'hilo', 'amiga', 'navarra', 'independentista', 'discutiendo', 'independencia']"
1.0994512168940216e+18,"O PSOL, em nota, disse que apoia Maduro e que sem o Bolsonaro, não haveria esse  conflito  (entenda-se que o ditador poderia continuar matando em paz).  Nós fizemos O MELHOR ao eleger o Bolsonaro, pela liberdade do Brasil e da América do Sul. E nunca esqueçamos esse nome: PSOL.",Neutral,"['psol', 'em', 'nota', 'disse', 'apoia', 'maduro', 'sem', 'bolsonaro', 'não', 'haveria', 'esse', 'conflito', 'entendase', 'ditador', 'poderia', 'continuar', 'matando', 'em', 'paz', 'nós', 'fizemos', 'melhor', 'ao', 'eleger', 'bolsonaro', 'pela', 'liberdade', 'do', 'brasil', 'da', 'américa', 'do', 'sul', 'nunca', 'esqueçamos', 'esse', 'nome', 'psol']"
1.09886845054874e+18,Nacionalismo y europeismo son incompatibles. La UE lo sabe y no se cree el discurso del separatismo catalán. El Gobierno de Flandes también deja solo a Puigdemont vía @cronicaglobal  https://t.co/fWZ2QKVW7x,Negativo,"['nacionalismo', 'europeismo', 'incompatibles', 'ue', 'sabe', 'cree', 'discurso', 'separatismo', 'catalán', 'gobierno', 'flandes', 'deja', 'solo', 'puigdemont', 'vía']"
