Texto_preprocesado,Sentimiento
En  ha fet més per l’independentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles Amunt Francisco,Negativo
Divendres 22F acte Cloenda campanya de les candidatures q es presenten a la jornada de votació  daquest dissabte 23F Escoltarem les candidates i candidats q sí creuen en una nova manera de fer política       ,Positivo
Puigdemont porta a la Defensora del Poble europea la prohibició de lacte a lEurocambra  ,Neutral
José Antonio Nieto exsecretari dEstat de Seguretat  Lactuació dels Mossos dEsquadra va ser insuficient i ineficaç    ,Neutral
Es passen dies denunciant lautocar amb que van traslladar els presos polítics ahir diuen que no aprovarien els pressupostos de lamo i avuí diuen que sho repensaran El ridícul de tot plegat és infinit Per cert el president de Catalunya treballa,Positivo
Vull votar i votaré  Hi ha quelcom que no em permet no ferho Ara bé tinc un greu problema  No sé a qui,Positivo
Torra crida a fer  una marxa  pels drets civils del país i pel dret a lautodeterminació en lhomenatges a Rull ,Neutral
 Sergi Vidal a RAC1 “Quan era un molt petit el meu pare em portava a veure Petrovic al camp de la Penya i pensava què cabrón com les fot Amb Navarro passa el mateix és un jugador especial” ,Negativo
Si la setmana vinent decidim anar a les eleccions del 28A us agradaria que sortíssim al  a explicar la nostra proposta Feunosho saber amb el hashtag  ,Negativo
Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del    ,Positivo
Titular alternatiu  El ministre de lInterior posa en dubte la mateixa realitat i anuncia que deixa la política per dedicarse a la filosofia  ,Negativo
En un bar de Sant Joan de Vilatorrada  Tens el president del partit a la garjola i la secretària general a lexili per haver fet un referèndum i els del partit proposen ferne un de debò ,Positivo
   foreceu noves eleccions JA apartem als qui el 21D van enganyar als seus votants i ara shan tret la màscara autonomista  amb polítics sense coratge ni projecte que no compleixen el mandat del  NO AVANCEM   feu valer els nostres vots tenim pressa,Positivo
RT  Uiiiii  un zasca de aquellos que te gustan recibir ,Negativo
I aquest divendres al  expectatives  sessió de  director general dAtenció Ciutadana d   q ens parlarà de les tendències de futur  i no tant futur en la Governança Digital  de les  ,Neutral
  Tothom sap que lesquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics dultradreta com Torra,Negativo
 Referèndum sobre Estatut i Independència Però què és això A Escòcia va ser així Oi que no Ja prou Tardà de veritat prou Per molt que repeteixis cada dia el mateix la gent no tho compra i espero que no tho compri mai,Positivo
RT  La intel·ligència artificial permet identificar nous gens relacionats amb el càncer  ,Negativo
En Yokomizo vs lAmuro daprenents den Kogoro ,Neutral
Atacar un autobús que va amb una foto de Hitler banalitzant el nazisme no és un atac a la llibertat dexpressió No existeix el dret a banalitzar el nazisme Si aturar un autobús amb una foto de Hitler és aturar aquestes idees doncs ben fet que fa la Generalitat expulsantlo ,Neutral
Només recordar pq de vegades la memòria és selectiva que el SrAznar és còmplice de lassassinat de quasi mig milió de persones Espero i desitjo que com tots els assassins algun dia et jutjin i et podreixis a la presó,Negativo
  BOOM Alemania demana a lUE que suspengui la  regla de lunanimitat  per les decisions de política exterior  Això vol dir que Espanya no podria bloquejarnos per entrarhi  ,Negativo
   La revolució la fareu vosaltres el sindicat vertical de la dreta català Puaf ,Negativo
Les dones hem de superar els esquemes de poder actuals i configurarne uns altres més dacord amb el nostre marc mental     ens convida a construir un lideratge femení basat en l’autenticitat i no en la sobreadaptació per construir una societat millor i més justa ,Neutral
Tho estant repetint cada dia Si votes ERC el  NO et sorprenguis lendemà quan tornin a votar amb el PSOE de franc i a fer de nous DuraniLleida a Madrid NO volen el vot indepe que confien mantenir de franc cerquen exvotants de PodemosPSOE Lícit pero NO amb el meu vot ,Negativo
Si si  Només faltaría que reconeixesin la culpabilitat aixi de primeres  Pero encara falten el testigs de la acusació Que tenen tanta credibilitat com els acusats ,Negativo
Rajoy podria haver guanyat les eleccions generals del 2011 amb  factures falses i pagaments ocults” segons publica El Confidencial  ,Neutral
   Es un estafador botifler i malparit,Negativo
RT  El Parlament de Catalunya sempre treballant pel que realment importa ,Negativo
   Aquest dimarts arrenca la segona setmana declaracions amb la compareixença de Jordi Turull a les 10h   Consulta aquí com aniran les sessions  ,Positivo
Com ja vam fer amb al vaga de l’any passat els diputats i diputades donarem el nostre sou del dia de la vaga a entitats feministes  explica  al  ,Positivo
  Veus Ho sabía Porto messos que no em deixen pujar videos del  Només puc pujar els ja pujats molts messos abans i si els trobo,Positivo
ATENCIÓ   MARXEM CAP A LEFTA   TOTHOM A SIGNAR si us plau  RT A TOPE     Govern de Catalunya  Demanem al govern de Catalunya que es posicioni per pertànyer a la EFTA  ¡Firma la petición  vía ,Negativo
 Però és evident el que he dit no La declaració dindependència com a cosa articulada i jurídica és a la llei de transitorietat del sisisetdesetembre,Negativo
 LAIA TIA CONTESTATE EL MOVIL QUE ES UNA EMERGENCIA EL STORIE DE MIMI,Neutral
 No entenc com al Parlament Europeu donen veu a aquests feixistes agressius i violents i silencien la veu de persones pacifiques com el nostre president legítim a l’exili,Positivo
Forn nega en el judici que la declaració dindependència del 27O tingués valor   ,Neutral
El sistema judicial vol Carles Puigdemont a Espanya no com a testimoni sinó com a presoner   advocat de Valtònyc    ,Positivo
Maragall un paio que va passar de l ajuntament franquista de Porcioles a fidel servidor del PSOE de Mister X  als tripartits d infausta memoria i per ultim indepe  Es algu de solids principis i projecte clar i si a mes te l experiencia de 76 anys  es un candidat excel·lent,Positivo
    En una cosa té raó no es poden barrejar les coses Per això lajuntament actual fa polítiques socials com mai vistes i a més és lúnic partit q ha portat a judici les càrregues policials de l1O i fa actes actes en defensa de labús de la gent empresonada,Negativo
 Carles Puigdemont  Es tracta dun judici polític Des de fa més dun any la Unió Europea ha tingut presoners polítics   ,Neutral
La Comissió de Defensa dels Drets del Col·legi de lAdvocacia de Barcelona critica les declaracions de Felip VI en què defensava que no hi ha democràcia fora de la legalitat ,Neutral
Ara entenc laltura q va haver d saltar pobre No sé com no es va trencar el turmell    ,Positivo
RT  Ens “jutgen” a tots perquè no ens poden afusellar,Neutral
Quantissima dignitat en cada nota massa No mereix el que ens estan fent els nostres Cuanta vergonya indignitat i egoisme hi ha als despatxos però no ens fareu còmplices de la vostre traïció no passaran els feixistes però vosaltres vosaltres tampoc MORI EL MAL GOVERN ,Positivo
RT  Plaça Sant Jaume ara mateix Catalunya combat al feixisme ,Negativo
 del   Soy de las que se patea la calle  Recorda al  i al  els anys que han estat al govern i aquells projectes que ara retreuen a  però que ells no van fer  Siempre es la misma cantinela  ,Negativo
Turull  He sentit alguna acusació per part de la Fiscalia que considero una falta de respecte als ciutadans de Catalunya   ,Positivo
Millo menteix tant que no sap que a Badalona el 20 de setembre del 2017 no hi havia alcalde Hi havia alcaldessa No es bo ni per a mentir el cabró aquest  ,Negativo
Volen detenir a Willy Toledo per no presentarse a declarar sobre un suposat delicte de blasfèmia I el seu règim cada dia sassembla més a la inquisició o a una pel·lícula dhumor no ho tenim clar   ,Positivo
RT   Espanya amb Catalunya ha estat disposat a fer de tot de tot menys política ,Positivo
El tribunal de Tòquio deixa en llibertat sota fiança lexpresident de NissanRenault Carlos Ghosn acusat de frau fiscal i abús de confiança  ,Neutral
