Texto,Sesgo,Tweet_procesado
"@chumeltorres ya cabrón! sin tí se reciben las noticias sin colchoncito, puro chingadazo. #extrañoreirconchumel",1,"['cabrón', 'tí', 'reciben', 'noticias', 'colchoncito', 'puro', 'chingadazo']"
¿alguien es tan amable de ir a hacerme la compra mañana? estoy de un bajón y de antojos que… https://t.co/z5qc6tiobc,0,"['alguien', 'tan', 'amable', 'ir', 'hacerme', 'compra', 'mañana', 'bajón', 'antojos']"
"@jenniferduquee hahaha, si está rico, nadamas le falta presentación.",0,"['hahaha', 'si', 'rico', 'nadamas', 'falta', 'presentación']"
@evagelcot donde lo ves!!? es mi programa favorito y sólo encuentro hasta temporada 5-6 y esos ya los tengo vistos ,0,"['f', 'programa', 'favorito', 'sólo', 'encuentro', 'temporada', 'vistos']"
como siempre mi tortilla triunfa mas que otros platos #playa… https://t.co/c60tc2teqv,0,"['siempre', 'tortilla', 'triunfa', 'ma', 'plato']"
yo solo quiero a alguien que odie a7x conmigo ,0,"['solo', 'quiero', 'alguien', 'odie', 'ax', 'conmigo']"
mi mamá cumple años hoy. y este es uno de los días más felices para mí la amo mucho.,0,"['mamá', 'cumple', 'años', 'hoy', 'días', 'felices', 'amo']"
@pvaya @sailor_tesserei @sh3rrymh es que es una reivindicación muy de moda... ya sabes... de gente pedante como yo ,0,"['reivindicación', 'moda', 'sabes', 'gente', 'pedante']"
"#eneneroyo estaré más al pendiente de mi familia, mis fans y estaré al pendiente de sus mensajes pequeños amores",0,"['pendiente', 'familia', 'fan', 'pendiente', 'mensajes', 'pequeños', 'amores']"
"@yolanday_y @el_pais tras 72.000 años de viaje, conformate con que haya moléculas de potasio y estén buenas ",0,"['tras', 'años', 'viaje', 'conformate', 'moléculas', 'potasio', 'buenas']"
pocas maneras mejores se me ocurren para empezar una semana... https://t.co/p5woxm5ffl,0,"['pocas', 'maneras', 'mejores', 'ocurren', 'empezar', 'semana']"
@soyalannavarro buenas noches risitas ...sueña bonito...!,0,"['buenas', 'noches', 'risitas', 'sueña', 'bonito']"
"@she_ra_h @darinasilver ya me habían hecho pixie y me quedan chidos, pero tengo mucho pelo y quise recortarlo más. mi error",0,"['hecho', 'pixie', 'quedan', 'chidos', 'pelo', 'quise', 'recortarlo', 'error']"
yo esperaba encontrar un boleto para ir al partido de mis spurs vs suns en la cdmx de bajo de mi arbolito,0,"['esperaba', 'encontrar', 'boleto', 'ir', 'partido', 'spur', 'v', 'sun', 'cdmx', 'bajo', 'arbolito']"
"yo mantendría que toby está vivo si no fuese por el tuit de keegs, por el insta de troian de hace unos días..... esas cosas sabéis ",0,"['mantendría', 'toby', 'vivo', 'si', 'tuit', 'keegs', 'insta', 'troian', 'hace', 'días', 'cosas', 'sabéis']"
"@kiwiliberal confundes conceptos, este es el nivel, medidas sociales ≠ socialismo. buenas noches que mañana se madruga ¿o no? ",0,"['confundes', 'conceptos', 'nivel', 'medidas', 'sociales', 'socialismo', 'buenas', 'noches', 'mañana', 'madruga']"
"buenos días!!! cuando la vida es dulce, da las gracias y sonríe. cuando no es así, da las gracias, crece y aprende... besitos",0,"['buenos', 'días', 'vida', 'dulce', 'da', 'gracias', 'sonríe', 'así', 'da', 'gracias', 'crece', 'aprende', 'besitos']"
"igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿soy el único que le preocupa que se lastimó, se ve que se cortó!",0,"['igual', 'mal', 'tiburón', 'mete', 'jaula', 'único', 'preocupa', 'lastimó', 've', 'cortó']"
buenos días bbs qué tal yo mal ,0,"['buenos', 'días', 'bb', 'tal', 'mal']"
"es la crónica de un ciego y su mentira, que mil veces repetida se convertirá en verdad... #mn ",0,"['crónica', 'ciego', 'mentira', 'mil', 'veces', 'repetida', 'convertirá', 'verdad']"
@cesarcpi @bl3ssur @retrotrainer búscame un zapdos de esos legales que tanto te gustan wapo  ,0,"['búscame', 'zapdos', 'legales', 'gustan', 'wapo']"
"@miguelbarranco5 @llautet @belenfgonzalez @pastoreta1 @betemilio @txemadomi @minadeideas hola miguel no,ahora estoy en ella ",0,"['hola', 'miguel', 'noahora']"
tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga ,0,"['ido', 'cenar', 'mar', 'cristal', 'inflado', 'duele', 'barriga']"
@iriswextallen pues estarán viendo una serie diferente que tú y yo oye porque no hay absolutamente nada entre esos dos ,0,"['pues', 'viendo', 'serie', 'diferente', 'oye', 'absolutamente', 'do']"
ya me está doliendo la cabeza de estar todo el día acostada. por qué soy así??,0,"['doliendo', 'cabeza', 'día', 'acostada', 'así']"
hoy reafirme que soy un adulto y no. 1. no necesito pedir permiso a nadie para ir a algún lugar. 2. me sigue dando miedo it,0,"['hoy', 'reafirme', 'adulto', 'necesito', 'pedir', 'permiso', 'nadie', 'ir', 'algún', 'lugar', 'sigue', 'dando', 'miedo', 'it']"
@sergiosmiles mirate d gray-man desde cero puta ,1,"['mirate', 'd', 'grayman', 'cero', 'puta']"
clásico día donostiarra para quedarse en casita con el fútbol #donostia #fútbol ,0,"['clásico', 'día', 'donostiarra', 'quedarse', 'casita', 'fútbol']"
estoy contenta y cagadisima a la vez ,0,"['contenta', 'cagadisima', 'vez']"
"terapia de #firstdates112 si el panorama está así es normal que siga soltera, el problema no soy yo. me siento mejor ",0,"['terapia', 'si', 'panorama', 'así', 'normal', 'siga', 'soltera', 'problema', 'siento', 'mejor']"
"si está claro, la culpa es mía ",0,"['si', 'claro', 'culpa']"
mi espalda esta bien chicos no os preocupeis p espero que el juicio sea lento y me libre de la carcel https://t.co/tbkc1vivoo,0,"['espalda', 'bien', 'chico', 'preocupeis', 'p', 'espero', 'juicio', 'lento', 'libre', 'carcel']"
