Texto_preprocesado,Sentimiento
RT  Arrimadas se presenta a las generales   sacar a Sánchez de Moncloa  ,Negativo
 Derecho a la autodeterminación  Golpe de estado  Presos políticos  Golpistas  Merienda con los colegas  Rebelión  15 meses no hay plan B  Hasta pudrirme de pasta   De nada,Negativo
   Los CDR atacan con pintura el cuartel de la   Vic La kale borroca catalana actuando con total impunidad       ,Negativo
Cansado de los eslóganes de izquierdas y derechas Quiero un país que progrese que acabe con los chiringuitos los privilegios políticos las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas Sinceramente me da igual quiero valores ,Negativo
Le recuerdo a  que en Cataluña los no indepes no nos podemos manifestar ,Neutral
RT  Cita de Machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo ,Negativo
Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas Van a tener que tomar Almax para digerir bien la realidad   ,Negativo
Así es Inés Arrimadas su carrera en 10 vídeos ,Neutral
 Qué hecho delictivo o indicio de delito es que a  no le gustara el nombramiento del ahora coronel Pérez Llevamos media hora con esta absurda cantinela,Positivo
RT  Melhor lateral direito do Mundo ,Neutral
Os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en Barcelona Lo podéis ver  ,Negativo
   cree que la intervención de  se leerá  en los libros de historia    ,Negativo
RT   Hitler hizo exactamente lo que los indepes pervertir la ley mediante el fraude para acabar con todos los con…,Negativo
 Dígale al imbécil de Alfonso Guerra que en su transición había un ejército que ya hizo de “relator” en la redacción de la constitución Llámale relator llámale amenazador,Positivo
   Estoy de acuerdo pero es que no se ha empezado ni a debatir… Para ir de la A a Z lo importantes es pasar por B C D E… es decir introduciendo la democracia directa poco a poco A TODOS los políticos incluidos indepes les interesa mantener la Partidocracia,Positivo
