Texto,Sesgo,Texto_preprocesado,Texto_token,Sin_palabras_vacias,Texto_stemmed_PS,Text_stemmed_SS,Texto_lemma
"te quejas por todo, eres una nena.",1,te quejas por todo eres una nena,"['te', 'quejas', 'por', 'todo', 'eres', 'una', 'nena']","['quejas', 'nena']","['queja', 'nena']","['quej', 'nen']","['quejas', 'nena']"
(en una entrevista de trabajo): ¿tienes pensado tener hijos?,1,en una entrevista de trabajo ¿tienes pensado tener hijos,"['en', 'una', 'entrevista', 'de', 'trabajo', 'tienes', 'pensado', 'tener', 'hijos']","['entrevista', 'trabajo', 'pensado', 'tener', 'hijos']","['entrevista', 'trabajo', 'pensado', 'tener', 'hijo']","['entrev', 'trabaj', 'pens', 'ten', 'hij']","['entrevista', 'trabajo', 'pensado', 'tener', 'hijos']"
hohenheim - me fui por tabaco y me convertí en una piedra filosofal. - ed me llamó papá - morí con una sonrisa.  https://t.co/gojtourbfj,1,hohenheim  me fui por tabaco y me convertí en una piedra filosofal  ed me llamó papá  morí con una sonrisa  ,"['hohenheim', 'me', 'fui', 'por', 'tabaco', 'y', 'me', 'convertí', 'en', 'una', 'piedra', 'filosofal', 'ed', 'me', 'llamó', 'papá', 'morí', 'con', 'una', 'sonrisa']","['hohenheim', 'tabaco', 'convertí', 'piedra', 'filosofal', 'ed', 'llamó', 'papá', 'morí', 'sonrisa']","['hohenheim', 'tabaco', 'convertí', 'piedra', 'filosof', 'ed', 'llamó', 'papá', 'morí', 'sonrisa']","['hohenheim', 'tabac', 'convert', 'piedr', 'filosofal', 'ed', 'llam', 'pap', 'mor', 'sonris']","['hohenheim', 'tabaco', 'convertí', 'piedra', 'filosofal', 'ed', 'llamó', 'papá', 'morí', 'sonrisa']"
.@enricaar @aurearamon @congreso_es @esquerra_erc @gabrielrufian el sigu escuela y administración trilingüe.  ¿le parece?  #somescola,0,     el sigu escuela y administración trilingüe  ¿le parece  ,"['el', 'sigu', 'escuela', 'y', 'administración', 'trilingüe', 'le', 'parece']","['sigu', 'escuela', 'administración', 'trilingüe', 'parece']","['sigu', 'escuela', 'administración', 'trilingü', 'parec']","['sigu', 'escuel', 'administr', 'trilingü', 'parec']","['sigu', 'escuela', 'administración', 'trilingüe', 'parece']"
baby @blasauryn #followspree. y la suerte de la semana pasada???  esto sería demasiado grande para mi.,0,baby   y la suerte de la semana pasada  esto sería demasiado grande para mi,"['baby', 'y', 'la', 'suerte', 'de', 'la', 'semana', 'pasada', 'esto', 'sería', 'demasiado', 'grande', 'para', 'mi']","['baby', 'suerte', 'semana', 'pasada', 'demasiado', 'grande']","['babi', 'suert', 'semana', 'pasada', 'demasiado', 'grand']","['baby', 'suert', 'seman', 'pas', 'demasi', 'grand']","['baby', 'suerte', 'semana', 'pasada', 'demasiado', 'grande']"
"#siqueríacontigopero te mama yuri , la trevi , anahi , las jeans!! ... te enchilas si se meten con britney. no pues mejor así, como!!?",1, te mama yuri  la trevi  anahi  las jeans  te enchilas si se meten con britney no pues mejor así como,"['te', 'mama', 'yuri', 'la', 'trevi', 'anahi', 'las', 'jeans', 'te', 'enchilas', 'si', 'se', 'meten', 'con', 'britney', 'no', 'pues', 'mejor', 'así', 'como']","['mama', 'yuri', 'trevi', 'anahi', 'jeans', 'enchilas', 'si', 'meten', 'britney', 'pues', 'mejor', 'así']","['mama', 'yuri', 'trevi', 'anahi', 'jean', 'enchila', 'si', 'meten', 'britney', 'pue', 'mejor', 'así']","['mam', 'yuri', 'trevi', 'anahi', 'jeans', 'enchil', 'si', 'met', 'britney', 'pues', 'mejor', 'asi']","['mama', 'yuri', 'trevi', 'anahi', 'jean', 'enchilas', 'si', 'meten', 'britney', 'pues', 'mejor', 'así']"
@loulogio_pi lo importante es que la serie pueda seguir. no importa si es otra partida mientras estéis los 2 y sea en el mismo punto ,0, lo importante es que la serie pueda seguir no importa si es otra partida mientras estéis los  y sea en el mismo punto ,"['lo', 'importante', 'es', 'que', 'la', 'serie', 'pueda', 'seguir', 'no', 'importa', 'si', 'es', 'otra', 'partida', 'mientras', 'estéis', 'los', 'y', 'sea', 'en', 'el', 'mismo', 'punto']","['importante', 'serie', 'pueda', 'seguir', 'importa', 'si', 'partida', 'mientras', 'mismo', 'punto']","['important', 'seri', 'pueda', 'seguir', 'importa', 'si', 'partida', 'mientra', 'mismo', 'punto']","['import', 'seri', 'pued', 'segu', 'import', 'si', 'part', 'mientr', 'mism', 'punt']","['importante', 'serie', 'pueda', 'seguir', 'importa', 'si', 'partida', 'mientras', 'mismo', 'punto']"
@fevafer tio no me lo recuerdes ,0, tio no me lo recuerdes ,"['tio', 'no', 'me', 'lo', 'recuerdes']","['tio', 'recuerdes']","['tio', 'recuerd']","['tio', 'recuerd']","['tio', 'recuerdes']"
"@ale_jaramillo a los años por aquí hermosa, ya ni te has de acordar de tu fiel seguidor un abrazo inmenso en este nuevo año. bendiciones.",1, a los años por aquí hermosa ya ni te has de acordar de tu fiel seguidor un abrazo inmenso en este nuevo año bendiciones,"['a', 'los', 'años', 'por', 'aquí', 'hermosa', 'ya', 'ni', 'te', 'has', 'de', 'acordar', 'de', 'tu', 'fiel', 'seguidor', 'un', 'abrazo', 'inmenso', 'en', 'este', 'nuevo', 'año', 'bendiciones']","['años', 'aquí', 'hermosa', 'acordar', 'fiel', 'seguidor', 'abrazo', 'inmenso', 'nuevo', 'año', 'bendiciones']","['año', 'aquí', 'hermosa', 'acordar', 'fiel', 'seguidor', 'abrazo', 'inmenso', 'nuevo', 'año', 'bendicion']","['años', 'aqu', 'hermos', 'acord', 'fiel', 'seguidor', 'abraz', 'inmens', 'nuev', 'año', 'bendicion']","['años', 'aquí', 'hermosa', 'acordar', 'fiel', 'seguidor', 'abrazo', 'inmenso', 'nuevo', 'año', 'bendiciones']"
alba carrillo como buena modelo haciendo gala de su profesión en la entrevista a willy toledo  #hableconellas,1,alba carrillo como buena modelo haciendo gala de su profesión en la entrevista a willy toledo  ,"['alba', 'carrillo', 'como', 'buena', 'modelo', 'haciendo', 'gala', 'de', 'su', 'profesión', 'en', 'la', 'entrevista', 'a', 'willy', 'toledo']","['alba', 'carrillo', 'buena', 'modelo', 'haciendo', 'gala', 'profesión', 'entrevista', 'willy', 'toledo']","['alba', 'carrillo', 'buena', 'modelo', 'haciendo', 'gala', 'profesión', 'entrevista', 'willi', 'toledo']","['alba', 'carrill', 'buen', 'model', 'hac', 'gal', 'profesion', 'entrev', 'willy', 'toled']","['alba', 'carrillo', 'buena', 'modelo', 'haciendo', 'gala', 'profesión', 'entrevista', 'willy', 'toledo']"
@bryantorresfsh @uby77 claro bryan es otra cuestión del tema ... si abres más días alquiler más caro . ,0,  claro bryan es otra cuestión del tema  si abres más días alquiler más caro  ,"['claro', 'bryan', 'es', 'otra', 'cuestión', 'del', 'tema', 'si', 'abres', 'más', 'días', 'alquiler', 'más', 'caro']","['claro', 'bryan', 'cuestión', 'tema', 'si', 'abres', 'días', 'alquiler', 'caro']","['claro', 'bryan', 'cuestión', 'tema', 'si', 'abr', 'día', 'alquil', 'caro']","['clar', 'bryan', 'cuestion', 'tem', 'si', 'abres', 'dias', 'alquil', 'car']","['claro', 'bryan', 'cuestión', 'tema', 'si', 'abres', 'días', 'alquiler', 'caro']"
hay una gran parten de odio en mi,1,hay una gran parten de odio en mi,"['hay', 'una', 'gran', 'parten', 'de', 'odio', 'en', 'mi']","['gran', 'parten', 'odio']","['gran', 'parten', 'odio']","['gran', 'part', 'odi']","['gran', 'parten', 'odio']"
los del sexo masculino son infieles por naturaleza.,1,los del sexo masculino son infieles por naturaleza,"['los', 'del', 'sexo', 'masculino', 'son', 'infieles', 'por', 'naturaleza']","['sexo', 'masculino', 'infieles', 'naturaleza']","['sexo', 'masculino', 'infiel', 'naturaleza']","['sex', 'masculin', 'infiel', 'naturalez']","['sexo', 'masculino', 'infieles', 'naturaleza']"
@adri_buzo @fulgenlison nop. pero ahora me queda más claro el asunto  gracias !,0,  nop pero ahora me queda más claro el asunto  gracias ,"['nop', 'pero', 'ahora', 'me', 'queda', 'más', 'claro', 'el', 'asunto', 'gracias']","['nop', 'ahora', 'queda', 'claro', 'asunto', 'gracias']","['nop', 'ahora', 'queda', 'claro', 'asunto', 'gracia']","['nop', 'ahor', 'qued', 'clar', 'asunt', 'graci']","['nop', 'ahora', 'queda', 'claro', 'asunto', 'gracias']"
"@alexjuxx yo quiero un novio como tu una vez dijiste que me procure jajajajajajajaja, no, pero en serio si",1, yo quiero un novio como tu una vez dijiste que me procure jajajajajajajaja no pero en serio si,"['yo', 'quiero', 'un', 'novio', 'como', 'tu', 'una', 'vez', 'dijiste', 'que', 'me', 'procure', 'jajajajajajajaja', 'no', 'pero', 'en', 'serio', 'si']","['quiero', 'novio', 'vez', 'dijiste', 'procure', 'jajajajajajajaja', 'serio', 'si']","['quiero', 'novio', 'vez', 'dijist', 'procur', 'jajajajajajajaja', 'serio', 'si']","['quier', 'novi', 'vez', 'dij', 'procur', 'jajajajajajajaj', 'seri', 'si']","['quiero', 'novio', 'vez', 'dijiste', 'procure', 'jajajajajajajaja', 'serio', 'si']"
"y en mi momento de alta autoestima/ego, les puedo asegurar que mi sonrisa se contagia  (en persona, obviamente)",0,y en mi momento de alta autoestimaego les puedo asegurar que mi sonrisa se contagia  en persona obviamente,"['y', 'en', 'mi', 'momento', 'de', 'alta', 'autoestimaego', 'les', 'puedo', 'asegurar', 'que', 'mi', 'sonrisa', 'se', 'contagia', 'en', 'persona', 'obviamente']","['momento', 'alta', 'autoestimaego', 'puedo', 'asegurar', 'sonrisa', 'contagia', 'persona', 'obviamente']","['momento', 'alta', 'autoestimaego', 'puedo', 'asegurar', 'sonrisa', 'contagia', 'persona', 'obviament']","['moment', 'alta', 'autoestimaeg', 'pued', 'asegur', 'sonris', 'contagi', 'person', 'obvi']","['momento', 'alta', 'autoestimaego', 'puedo', 'asegurar', 'sonrisa', 'contagia', 'persona', 'obviamente']"
@harleyftprego me gustaría poder ir y abrazarte para que te sientas mejor ,1, me gustaría poder ir y abrazarte para que te sientas mejor ,"['me', 'gustaría', 'poder', 'ir', 'y', 'abrazarte', 'para', 'que', 'te', 'sientas', 'mejor']","['gustaría', 'poder', 'ir', 'abrazarte', 'sientas', 'mejor']","['gustaría', 'poder', 'ir', 'abrazart', 'sienta', 'mejor']","['gust', 'pod', 'ir', 'abrazart', 'sient', 'mejor']","['gustaría', 'poder', 'ir', 'abrazarte', 'sientas', 'mejor']"
@ignatiareilly una oleada de cosas homófobas días anteriores ,1, una oleada de cosas homófobas días anteriores ,"['una', 'oleada', 'de', 'cosas', 'homófobas', 'días', 'anteriores']","['oleada', 'cosas', 'homófobas', 'días', 'anteriores']","['oleada', 'cosa', 'homófoba', 'día', 'anterior']","['ole', 'cos', 'homofob', 'dias', 'anterior']","['oleada', 'cosas', 'homófobas', 'días', 'anteriores']"
