Id,Texto,Sentimiento,Texto_preprocesado
1.1028517837209517e+34,En @fgarrobo ha fet més per l’independentisme i la unitat popular a Nou Barris que tots aquests que tant el critiquen als seus barris i pobles. Amunt Francisco!✊🏾,Negativo,"['fet', 'l', 'independentisme', 'unitat', 'popular', 'nou', 'barris', 'critiquen', 'barris', 'pobles', 'amunt', 'francisco']"
1.0988927816810824e+18,Divendres 22F acte Cloenda campanya de les candidatures q es presenten a la jornada de votació @PrimariesCat d'aquest dissabte 23F!! Escoltarem les candidates i candidats q sí creuen en una nova manera de fer política!!   #CanviemElGuió #AUTOconvocats #21FVagaGeneral #judicifarsa https://t.co/mtKiZLQUlv,Positivo,"['divendres', 'f', 'acte', 'cloenda', 'campanya', 'candidature', 'q', 'presenten', 'jornada', 'votació', 'daquest', 'dissabte', 'f', 'escoltarem', 'candidate', 'candidats', 'q', 'sí', 'creuen', 'nova', 'manera', 'política']"
1.099032326489596e+34,Puigdemont porta a la Defensora del Poble europea la prohibició de l'acte a l'Eurocambra https://t.co/fera2Vdu6G https://t.co/eoAQbnEE1R,Neutral,"['puigdemont', 'porta', 'defensora', 'poble', 'europea', 'prohibició', 'lacte', 'leurocambra']"
1.10251884676898e+32,"José Antonio Nieto, ex-secretari d'Estat de Seguretat:  L'actuació dels Mossos d'Esquadra va ser insuficient i ineficaç  https://t.co/2Fh8oAdKTL #JudiciTV3CatRàdio https://t.co/86mWnDfc0b",Neutral,"['josé', 'antonio', 'nieto', 'exsecretari', 'destat', 'seguretat', 'lactuació', 'mossos', 'desquadra', 'insuficient', 'ineficaç']"
1.0930817441930812e+18,"Es passen dies denunciant l'autocar amb que van traslladar els presos polítics, ahir diuen que no aprovarien els pressupostos de l'amo i avuí diuen que s'ho repensaran. El ridícul de tot plegat és infinit. Per cert, el president de Catalunya treballa?",Positivo,"['passen', 'dy', 'denunciant', 'lautocar', 'traslladar', 'presos', 'polítics', 'ahir', 'diuen', 'aprovarien', 'pressupostos', 'lamo', 'avuí', 'diuen', 'sho', 'repensaran', 'ridícul', 'plegat', 'infinit', 'cert', 'president', 'catalunya', 'treballa']"
1.0974906202041016e+18,Vull votar i votaré.  Hi ha quelcom que no em permet no fer-ho. Ara bé tinc un greu problema.  No sé a qui!!!😡😡😡😍😍😠,Positivo,"['vull', 'votar', 'votaré', 'permet', 'ferho', 'ara', 'greu', 'problema', 'sé']"
1.0363613732388004e+34,Torra crida a fer  una marxa  pels drets civils del país i pel dret a l'autodeterminació en l'homenatges a Rull https://t.co/R6RDTwCAdX,Neutral,"['torra', 'crida', 'marxa', 'drets', 'civils', 'país', 'dret', 'lautodeterminació', 'lhomenatges', 'rull']"
1.0383490390524355e+34,"📡 Sergi Vidal a RAC1: “Quan era un molt petit, el meu pare em portava a veure Petrovic al camp de la Penya i pensava: què cabrón, com les fot. Amb Navarro passa el mateix, és un jugador especial”. https://t.co/EmRQGQU7zd",Negativo,"['sergi', 'vidal', 'rac', 'petit', 'pare', 'portava', 'veure', 'petrovic', 'camp', 'penya', 'pensava', 'cabrón', 'fot', 'navarro', 'passa', 'jugador', 'especial']"
1.0994375828558725e+34,"Si la setmana vinent decidim anar a les eleccions del 28-A, us agradaria que sortíssim al @FAQSTV3 a explicar la nostra proposta? Feu-nos-ho saber amb el hashtag #PiratesAlFAQS #FAQSstrubelTV3",Negativo,"['setmana', 'vinent', 'decidim', 'eleccions', 'agradaria', 'sortíssim', 'explicar', 'proposta', 'feunosho', 'hashtag']"
1.0450629043352655e+18,Consentir una manifestació a Plaça Sant Jaume de feixistes que ens amenaça és una irresponsabilitat del @catalangov @MiquelBuch  https://t.co/jY76ZIf9Uu,Positivo,"['consentir', 'manifestació', 'plaça', 'sant', 'jaume', 'feixistes', 'amenaça', 'irresponsabilitat']"
