Id,Texto,Sentimiento,Texto_preprocesado
1.103406415950082e+18,Algú amb dos dits de front es creu que el PSOE votarà al costat de partits independentistes catalans quan pot buscar suport en partits espanyols? Ningú veu que seria un suïcidi per un partit de govern espanyol pactar o acostar-se amb qui vol  trencar  sagrada unidad de España?,Positivo,"['algú', 'do', 'dit', 'front', 'creu', 'psoe', 'votarà', 'costat', 'partits', 'independentistes', 'catalan', 'pot', 'buscar', 'suport', 'partits', 'espanyols', 'ningú', 'seria', 'suïcidi', 'partit', 'govern', 'espanyol', 'pactar', 'acostarse', 'vol', 'trencar', 'sagrada', 'unidad', 'españa']"
1.0921766179532473e+34,"@jgbblack @GuiBo16 @martaroqueta En una comissió d'investigació, es crida als responsables que ara són consellers o ténen càrrec (i no als presos, com han fet). Se'ls fan dues preguntes: A quins requeriments no va obeïr? Perquè no s'han restituït càrrecs que es van oposar 155? I tot aclarit.",Positivo,"['comissió', 'dinvestigació', 'crida', 'responsables', 'ara', 'consellers', 'ténen', 'càrrec', 'presos', 'fet', 'sels', 'due', 'preguntes', 'requeriments', 'obeïr', 'shan', 'restituït', 'càrrecs', 'oposar', 'aclarit']"
1.1027078680951277e+34,"Després de tanta mentida sobre els policies lesionats, avui el Secretari d'Estat ha confirmat que no hi va haver cap policia lesionat. rajoy, Soraya i Zoido han de demanar disculpes als qui l'10 es van mobilitzar pacíficament. #ProuMentides https://t.co/3OjZo6Plfo",Neutral,"['mentida', 'policy', 'lesionats', 'avui', 'secretari', 'destat', 'confirmat', 'cap', 'policia', 'lesionat', 'rajoy', 'soraya', 'zoido', 'demanar', 'disculpes', 'l', 'mobilitzar', 'pacíficament']"
1.103437833954644e+33,Al timeline del @EnricMillo veureu que els últims RT són de piulades de Jorge Bustos i Xavier Rius. Imagineu un viatge en cotxe amb aquests tres cucs d'acompanyants i sereu més a prop de saber què és l'infern.,Negativo,"['timeline', 'veureu', 'últims', 'piulades', 'jorge', 'bustos', 'xavier', 'rius', 'imagineu', 'viatge', 'cotxe', 'tres', 'cucs', 'dacompanyants', 'sereu', 'prop', 'linfern']"
1.103034829262725e+34,🔊 La primera part del testimoni de Pérez de los Cobos al judici del procés ha deixat en evidència  la relació complicada  entre el coordinador de l'operatiu de l'1-O i el major dels Mossos #JudiciTV3CatRàdio   https://t.co/nOfqdO5pmb,Neutral,"['primera', 'part', 'testimoni', 'pérez', 'los', 'cobos', 'judici', 'procés', 'deixat', 'evidència', 'relació', 'complicada', 'coordinador', 'loperatiu', 'lo', 'major', 'mossos']"
1.0979861718111272e+18,RT @iolandaparra: Per a mi @raulromeva sempre serà un dels meus mestres en construcció de pau i rehabilitació postbèl·lica. #JoAcuso https:…,Positivo,"['mi', 'sempre', 'serà', 'mestres', 'construcció', 'pau', 'rehabilitació', 'postbèl', 'lica']"
1.09787962450636e+34,"A mitjan segle XIX la gent tenia por d'oblidar els seus familiars difunts, per això, els hi feien retrats post mortem. Dos dels especialistes d'aquesta tècnica per la seva qualitat en els daguerreotips van ser Manuel Moliné i Rafael Albareda que tenien l'estudi al carrer d'Aroles https://t.co/DajToRvp95",Neutral,"['mitjan', 'segle', 'xix', 'gent', 'tenia', 'por', 'doblidar', 'familiar', 'difunts', 'feien', 'retrats', 'post', 'mortem', 'do', 'especialistes', 'daquesta', 'tècnica', 'qualitat', 'daguerreotips', 'manuel', 'moliné', 'rafael', 'albareda', 'tenien', 'lestudi', 'carrer', 'daroles']"
1.0977469904720118e+34,Les persones grans que viuen soles podran disposar d'un robot de 160 centímetres d'alçada i 15 quilos que els assisteixi 👴🏼 #innovacio #tecnologia @Eurecat_news  https://t.co/ddwtCkwtr2,Neutral,"['persones', 'gran', 'viuen', 'sol', 'podran', 'disposar', 'dun', 'robot', 'centímetres', 'dalçada', 'quilos', 'assisteixi']"
1.102601077818618e+34,"#Spoiler: a l’era de la postveritat, els fils de Twitter són un pas més en el camí de la postficció. Aquesta setmana repassarem els seus orígens amb @ManuelBartual. Stay tuned! https://t.co/wsyezXQWPj",Neutral,"['l', 'postveritat', 'fils', 'twitter', 'camí', 'postficció', 'setmana', 'repassarem', 'orígens', 'stay', 'tuned']"
1.0978007112013784e+34,El revés de la Eurocámara a Puigdemont sobre la conferencia de Vox 👇 https://t.co/sc6IyEffz6,Negativo,"['revés', 'eurocámara', 'puigdemont', 'conferencia', 'vox']"
