Id,Texto,Sentimiento,Texto_preprocesado
1.098834615484203e+18,🔴Os contamos un hecho lamentable y es como unos radicales separatistas han acosado a un mujer que se ha negado a cerrar su negocio en Barcelona. Lo podéis ver 👇 https://t.co/qZZu79VYad,Negativo,"['contamos', 'hecho', 'lamentable', 'radicales', 'separatistas', 'acosado', 'mujer', 'negado', 'cerrar', 'negocio', 'barcelona', 'podéis', 'ver']"
1.1029983672302182e+18,"El mismo libreto que Jose Antonio Nieto al afirmar que no hubo cargas policiales. Si escribes en Google,  cargas policiales 1 octubre  se le cae a uno la cara de vergüenza. https://t.co/EhV2dOWIgY",Positivo,"['mismo', 'libreto', 'jose', 'antonio', 'nieto', 'afirmar', 'cargas', 'policiales', 'si', 'escribes', 'google', 'cargas', 'policiales', 'octubre', 'cae', 'cara', 'vergüenza']"
1.097382320452092e+18,"Albert Rivera haciendo campaña,luego no vengáis diciendo que no lo sabíais,por cierto este caballero en contra de la subida del SMI de Podemos,para el hay prioridades y queda claro que no es la gente y sus necesidades #EleccionesGenerales28Abril #SISePuede https://t.co/AO9x4wiqFZ",Positivo,"['albert', 'rivera', 'haciendo', 'campañaluego', 'vengáis', 'diciendo', 'sabíaispor', 'cierto', 'caballero', 'subida', 'smi', 'podemospara', 'prioridades', 'queda', 'claro', 'gente', 'necesidades']"
1.1028919244474776e+18,🗞 Nieto:  El uso de la fuerza el 1-O fue el mínimo imprescindible . 👏🏻Queremos agradecer la valentía de ja_nietob en el #JuicioDelProcés del 1-O por defender la labor de la policia y guardiacivil aquel día. 🇪🇸 #OrgullososDeNuestraPolicía https://t.co/N6gf8j474f,Negativo,"['nieto', 'uso', 'fuerza', 'mínimo', 'imprescindible', 'queremos', 'agradecer', 'valentía', 'janietob', 'defender', 'labor', 'policia', 'guardiacivil', 'aquel', 'día']"
1.0988436301256212e+18,@rovik0 @alahoranona @bcnviafora_eng @rumbopropio Sí. Soy parte de “el pueblo” contra los golpistas.  parte de los que se sienten expoliados y amenazados por los separatistas. Como muchos millones que damos nuestras vidas por aportar lo mismo o más a nuestros hijos de lobque hemos recibido.  No seré extranjero en mi tierra,Negativo,"['parte', 'pueblo', 'golpistas', 'parte', 'sienten', 'expoliados', 'amenazados', 'separatistas', 'millones', 'damos', 'vidas', 'aportar', 'mismo', 'hijos', 'lobque', 'recibido', 'extranjero', 'tierra']"
1.102495392250372e+18,"[EN DIRECTE] Es reprèn el judici amb la declaració de José Antonio Nieto, número dos de Zoido i Puigserver responsable del 155 a Interior. Això promet.😊 https://t.co/cma5FDaiQE",Positivo,"['directe', 'reprèn', 'judici', 'amb', 'declaració', 'josé', 'antonio', 'nieto', 'número', 'do', 'zoido', 'i', 'puigserver', 'responsable', 'interior', 'això', 'promet']"
1.0960804992301016e+18,RT @rimbaudarth: La soberbia de los indepes no tiene límites. Y se supone que este señor es jurista... ????? https://t.co/NibftEo6KH,Negativo,"['soberbia', 'indepes', 'límites', 'supone', 'señor', 'jurista']"
1.0920320094871756e+18,"@PoliciaSXXI Muchos ciudadanos saldremos con vosotros, estamos hartos de que los políticos utilicen a nuestra GuardiaCivil y PolicíaNacional como víctima propiciatoria que calme las ínfulas de sus socios secesionistas, arriesgando las vidas de nuestros hombres y la propia seguridad ciudadana.",Negativo,"['ciudadanos', 'saldremos', 'hartos', 'políticos', 'utilicen', 'guardiacivil', 'policíanacional', 'víctima', 'propiciatoria', 'calme', 'ínfulas', 'socios', 'secesionistas', 'arriesgando', 'vidas', 'hombre', 'propia', 'seguridad', 'ciudadana']"
1.1030076316927796e+18,@GLapedriza @Las_Republicas @BeatrizTalegon Que hacéis dando voz a esta procesista? A la negacionista de la catalanofobia? Esta señora es cáncer para el movimiento independentista.,Positivo,"['hacéis', 'dando', 'voz', 'procesista', 'negacionista', 'catalanofobia', 'señora', 'cáncer', 'movimiento', 'independentista']"
1.0978813654696387e+18,"Siento tanta pena viendo a estos pobres hombres que por hacer cumplir la voluntad de su pueblo, se encuentran privados de libertad y enjuiciados. #LlibertatPresosPoliticsiexiliats",Positivo,"['siento', 'tanta', 'pena', 'viendo', 'pobres', 'hombre', 'hacer', 'cumplir', 'voluntad', 'pueblo', 'encuentran', 'privados', 'libertad', 'enjuiciados']"
