Id,Texto,Sentimiento,Texto_preprocesado
1.0383490390524355e+34,"📡 Sergi Vidal a RAC1: “Quan era un molt petit, el meu pare em portava a veure Petrovic al camp de la Penya i pensava: què cabrón, com les fot. Amb Navarro passa el mateix, és un jugador especial”. https://t.co/EmRQGQU7zd",Negativo,"['sergi', 'vidal', 'rac', 'petit', 'pare', 'portava', 'veure', 'petrovic', 'camp', 'penya', 'pensava', 'cabrón', 'fot', 'navarro', 'passa', 'jugador', 'especial']"
1.1034139595694283e+34,@dhv1976 @AresCases Tothom sap que l'esquerra autèntica recolza ferotgement la República Catalana i que no dona suport a fanàtics d'ultradreta com Torra,Negativo,"['tothom', 'lesquerra', 'autèntica', 'recolza', 'ferotgement', 'república', 'catalana', 'dona', 'suport', 'fanàtics', 'dultradreta', 'torra']"
1.1037566632265933e+34,Les dones hem de superar els esquemes de poder actuals i configurar-ne uns altres més d'acord amb el nostre marc mental .  @agenersurrell  ens convida a construir un lideratge femení basat en l’autenticitat i no en la sobreadaptació per construir una societat millor i més justa. https://t.co/L2NKGs3Xji,Neutral,"['dones', 'superar', 'esquemes', 'actuals', 'configurarne', 'dacord', 'marc', 'mental', 'convida', 'construir', 'lideratge', 'femení', 'basat', 'l', 'autenticitat', 'sobreadaptació', 'construir', 'societat', 'millor', 'justa']"
1.1041481501456916e+34,@mimiftaitana LAIA TIA CONTESTATE EL MOVIL QUE ES UNA EMERGENCIA. EL STORIE DE MIMI,Neutral,"['laia', 'tia', 'contestate', 'movil', 'emergencia', 'storie', 'mimi']"
1.1033624115355238e+18,"Virginia Alguacil Mata , casada 1 Fill , 61 anys , professió , Parada ...el 1-O vaig estar Desde las 6 del matí a las portes del Casal d'avis defensant las Urnes ! Plovia i molt !! Hi havia molte gent com jo ! I a las 11 del Matí vaig Votar ! 1 sol cop !  #JudiciFarsa",Positivo,"['virginia', 'alguacil', 'mata', 'casada', 'fill', 'anys', 'professió', 'parada', 'estar', 'desde', 'la', 'matí', 'la', 'porte', 'casal', 'davis', 'defensant', 'la', 'urnes', 'plovia', 'molte', 'gent', 'la', 'matí', 'votar', 'sol', 'cop']"
1.1039705746096005e+34,♀️ @ManuelValls: “Les dones sempre han estat part important dels meus equips polítics i de govern. Quan vaig presentar la meva candidatura ja vaig dir que seria llista paritària”.   #VallsBCN2019 #vallsperlaigualtat #Barcelona #DiadelaDona #DiadelaMujer https://t.co/P1lX8EyKM9,Negativo,"['dones', 'sempre', 'part', 'important', 'equips', 'polítics', 'govern', 'presentar', 'candidatura', 'dir', 'seria', 'llista', 'paritària']"
1.0989040774156657e+18,"No, ni jo ni el meu pare @mstrubell hem escrit el famós missatge a Jordi Sánchez. NO, rotundament NO. #JudiciTV3CatRàdio https://t.co/cm68Z6WNwA",Positivo,"['pare', 'escrit', 'famós', 'missatge', 'jordi', 'sánchez', 'rotundament']"
1.0919731525640436e+34,"Ets molt millor que en Maquiavelo, noi...  el putu amo de la estrategia.   I com es que no els heu alliberat aquest mesos passats?? https://t.co/eqLdDRpP6c",Negativo,"['millor', 'maquiavelo', 'noi', 'putu', 'amo', 'estrategia', 'alliberat', 'mesos', 'passats']"
1.0961467410768608e+34,Els fills ideològics del coronel Galindo.  Si no fas allò que et diuen t'enterren en calç viva o et torturen a Intxaurrondo https://t.co/xxPe07XVZj,Neutral,"['fill', 'ideològics', 'coronel', 'galindo', 'diuen', 'tenterren', 'calç', 'viva', 'torturen', 'intxaurrondo']"
1.0979073539728671e+34,"🔴 El conseller d'Exteriors, Alfred Bosch, compareix després de la declaració de Raül Romeva:  Hem vist un home de pau  https://t.co/hOsZnwWWUB #JudiciTV3CatRàdio https://t.co/hWGBgPoCm6",Neutral,"['conseller', 'dexteriors', 'alfred', 'bosch', 'compareix', 'declaració', 'raül', 'romeva', 'vist', 'home', 'pau']"
1.0402168206225244e+34,El fenòmen @AdaColau és miraculós. Se´n va a @salvameoficial i resulta q és bisexual. Deixa la política @XavierDomenechs i ella també s´ho planteja. Esclaten els màsters i assegura q a ella li van oferir i va dir q no. Q no parli @sorluciacaram o dirà q va tenir vocació de monja,Negativo,"['fenòmen', 'miraculós', 'se', 'n', 'resulta', 'q', 'bisexual', 'deixa', 'política', 'ella', 's', 'planteja', 'esclaten', 'màsters', 'assegura', 'q', 'ella', 'oferir', 'dir', 'q', 'q', 'parli', 'dirà', 'q', 'vocació', 'monja']"
1.0977718391521034e+34,"@QuimTorraiPla @PalmiraTercera Si us fixeu,la frase en questió-com totes les que son pronunciades pels polítics en campanya-no te cap sentit ni significat. L'independentisme es la qualitat dels  independentistes , i personificar en ell, es retòric. Es com dir: la paret es dolenta, per que no la puc travessar",Negativo,"['fixeula', 'frase', 'questiócom', 'pronunciades', 'polítics', 'campanyano', 'cap', 'sentit', 'significat', 'lindependentisme', 'qualitat', 'independentistes', 'personificar', 'ell', 'retòric', 'dir', 'paret', 'dolenta', 'travessar']"
1.0453279331146342e+18,Polítics ferms i coherents com Carles Riera és el que ens cal. Els @mossos sé l'enduen arrastrant! Vergonya de la nostra policia i (em sap molt greu dir-ho) del nostre govern que ens crida a estar al carrer i ell mateix ens hi fa fora!   https://t.co/Hc1IufK2JK,Positivo,"['polítics', 'ferms', 'coherents', 'carles', 'riera', 'cal', 'sé', 'lenduen', 'arrastrant', 'vergonya', 'policia', 'greu', 'dirho', 'govern', 'crida', 'estar', 'carrer', 'ell']"
1.0420082820035953e+18,RT @vpartal: El jutge del cas Valtònyc es queixa que no es puguin il·legalitzar els partits independentistes. Ai senyor. https://t.co/x59DV…,Positivo,"['jutge', 'ca', 'valtònyc', 'queixa', 'puguin', 'il', 'legalitzar', 'partits', 'independentistes', 'ai', 'senyor']"
1.1030175051598152e+34,Tots parlant del Millo avui com si fóssiu nens petits. No ho veieu que fan amb vosaltres el que volen?? No ho veieu que mentres parleu d'ells ningú parla de la independència????,Negativo,"['parlant', 'millo', 'avui', 'fóssiu', 'nens', 'petits', 'veieu', 'volen', 'veieu', 'mentres', 'parleu', 'dell', 'ningú', 'parla', 'independència']"
1.1035907985982916e+34,"Gràcies, Puigcerdà, per defensar el dret dels tabarnesos a l'autodeterminació. Albert Piñeira Brosel (sisplau autodetermini's dels seus pares al catalanitzador de cognoms) es el alcalde de... https://t.co/GzWc8Oc3rs",Negativo,"['gràcies', 'puigcerdà', 'defensar', 'dret', 'tabarnesos', 'lautodeterminació', 'albert', 'piñeira', 'brosel', 'sisplau', 'autodeterminis', 'pares', 'catalanitzador', 'cognoms', 'alcalde']"
1.1036636619760393e+34,@xriusenoticies que diu aquet noi molt simpatic ???? Esta nervios en Jair ? https://t.co/xRn0Mm9LRa,Negativo,"['diu', 'aquet', 'noi', 'simpatic', 'nervios', 'jair']"
1.1039475666669157e+34,"@SenyorRequena @goslum @emparmoliner Amb lema...pie foto: Dona amb adn inferior puja al bus dels de raça pura i seu amb total impunitat, es auquesta dona..amb dni XXX i viu aqui..XXXX Podria ser tambe.",Negativo,"['lemapie', 'foto', 'dona', 'adn', 'inferior', 'puja', 'bus', 'raça', 'pura', 'total', 'impunitat', 'auquesta', 'donaamb', 'dni', 'xxx', 'viu', 'aquixxxx', 'podria', 'tambe']"
1.103752094568321e+33,@QuimTorraiPla @JuntsXCat Et saps algun altre número que no sigui el 80? O tens algun fetitxisme amb ell? O feixisme? #LaRepublicaNoExisteIdiota  Escolta a #LaSilenciosaCat,Negativo,"['número', 'sigui', 'ten', 'fetitxisme', 'ell', 'feixisme', 'escolta']"
1.1039513310505695e+34,"“Parlen les dones, la seva poesia tendra i forta.  Ben pocs s'aturen a escoltar aquestes veus, que, trasbalsades, un nou llenguatge diuen nascut al fons dels segles”.  Montserrat Abelló💜",Negativo,"['parlen', 'dones', 'poesia', 'tendra', 'forta', 'ben', 'saturen', 'escoltar', 'veus', 'trasbalsades', 'nou', 'llenguatge', 'diuen', 'nascut', 'fons', 'segles', 'montserrat', 'abelló']"
1.1031909026868264e+18,RT @JManimar: Sap algú si la filla d' @EnricMillo va netejar la suposada pintada amb fairy?  #NiOblitNiPerdó #JudiciProcés #JudiciTV3CatRàd…,Positivo,"['algú', 'filla', 'd', 'netejar', 'suposada', 'pintada', 'fairy']"
1.0919840257267345e+34,Aquest senyor ha vulnerat els meus drets civils al tractar-me com si fos una colona a la meva terra https://t.co/6ClAooz59x,Negativo,"['senyor', 'vulnerat', 'drets', 'civils', 'tractarme', 'fo', 'colona', 'terra']"
