Id,Texto,Sentimiento,Texto_preprocesado
1.099284472267182e+18,RT @EFEnoticias: Arrimadas se presenta a las generales   sacar a Sánchez de Moncloa  #EFEURGENTE,Negativo,"['arrimadas', 'presenta', 'generales', 'sacar', 'sánchez', 'moncloa']"
1.1025699374476739e+18,"@gabrielrufian Derecho a la autodeterminación - Golpe de estado  Presos políticos - Golpistas  Merienda con los colegas - Rebelión  15 meses, no hay plan B - Hasta pudrirme de pasta   De nada.",Negativo,"['derecho', 'autodeterminación', 'golpe', 'presos', 'políticos', 'golpistas', 'merienda', 'colegas', 'rebelión', 'me', 'plan', 'b', 'pudrirme', 'pasta']"
1.0975768834646095e+18,#URGENTE ???? #Cataluña: Los CDR atacan con pintura el cuartel de la @guardiacivil  Vic La kale borroca catalana actuando con total impunidad. #elecciones2019votoderechas #jusapol @jusapol @AFAPOL_ #EquiparacionYa  https://t.co/eHmn0ICRKt,Negativo,"['cdr', 'atacan', 'pintura', 'cuartel', 'vic', 'kale', 'borroca', 'catalana', 'actuando', 'total', 'impunidad']"
1.0974759703559044e+18,"Cansado de los eslóganes de izquierdas y derechas. Quiero un país que progrese, que acabe con los chiringuitos, los privilegios políticos, las condonaciones bancarias a los partidos que olvidan a las personas ¿es izquierdas o es derechas? Sinceramente me da igual, quiero valores https://t.co/j1Ztzi1GC2",Negativo,"['cansado', 'eslóganes', 'izquierdas', 'derechas', 'quiero', 'país', 'progrese', 'acabe', 'chiringuitos', 'privilegios', 'políticos', 'condonaciones', 'bancarias', 'partidos', 'olvidan', 'persona', 'izquierdas', 'derechas', 'sinceramente', 'da', 'igual', 'quiero', 'valores']"
1.0931338969365052e+18,Le recuerdo a @EnricJuliana que en Cataluña los no indepes no nos podemos manifestar!!! #RelatorARV,Neutral,"['recuerdo', 'cataluña', 'indepes', 'podemos', 'manifestar']"
1.0993804758760692e+18,RT @agdjunt: Cita de Machado que no verás reproducir en los homenajes que ciertos políticos le están haciendo https://t.co/efYA4MjgNd,Negativo,"['cita', 'machado', 'verás', 'reproducir', 'homenajes', 'ciertos', 'políticos', 'haciendo']"
1.1037317537290362e+18,Me parece muy raro que la gallifanta y toda la patulea indepe no hayan hecho mención alguna a las declaraciones de los testigos que comprometen a los golpistas. Van a tener que tomar Almax para digerir bien la realidad   #JuicioProces,Negativo,"['parece', 'raro', 'gallifanta', 'toda', 'patulea', 'indepe', 'hecho', 'mención', 'alguna', 'declaraciones', 'testigos', 'comprometen', 'golpistas', 'van', 'tener', 'tomar', 'almax', 'digerir', 'bien', 'realidad']"
1.0992934704879084e+18,Así es Inés Arrimadas: su carrera en 10 vídeos https://t.co/AgHYYeboN4,Neutral,"['así', 'inés', 'arrimadas', 'carrera', 'vídeos']"
1.1030036041919896e+18,#1O Qué hecho delictivo o indicio de delito es que a #Trapero no le gustara el nombramiento del ahora coronel Pérez? Llevamos media hora con esta absurda cantinela,Positivo,"['hecho', 'delictivo', 'indicio', 'delito', 'gustara', 'nombramiento', 'ahora', 'coronel', 'pérez', 'llevamos', 'medium', 'hora', 'absurda', 'cantinela']"
1.1029810635073496e+18,RT @omundodaboIa: Melhor lateral direito do Mundo!🔥🔥 https://t.co/zuVcUuTOCg,Neutral,"['melhor', 'lateral', 'direito', 'do', 'mundo']"
